paper,paper_url,date,year,half_year,primary_level,capability_path,modalities,catalog_subsection,primary_mechanism,controller_type,visual_executor,feedback,evaluation_type,planning,retrieval,tool_use,multi_agent,verification,memory,rl,closed_loop,cross_task_persistence,github,website,open_source
Large Language Models are Universal Reasoners for Visual Generation,https://arxiv.org/abs/2605.04040,2026-05,2026,2026-H1,L3,L1+L3,Image,Unified and latent closed-loop generation,Draft and grounded self-critique,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,True,False,False,True,False,False,True,False,,,False
Latent Action Control,https://arxiv.org/abs/2605.16961,2026-05,2026,2026-H1,L3,L1+L3,Image,Unified and latent closed-loop generation,Latent diagnosis and halting,unified multimodal policy,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,False,False,True,False,False,True,False,,,False
Self-Adaptive Interleaved Visual Reasoner,https://arxiv.org/abs/2605.14709,2026-05,2026,2026-H1,L3,L1+L3,Image,Unified and latent closed-loop generation,Adaptive reflection and planning,unified multimodal policy,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,False,False,True,False,False,True,False,https://github.com/WeChatCV/Interleaved_Visual_Reasoner,,True
FiRe,https://arxiv.org/abs/2604.13491,2026-04,2026,2026-H1,L3,L1+L3,Image,Unified and latent closed-loop generation,Fine-grained multimodal reflection,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,False,False,True,False,False,True,False,,,False
"Think in Strokes, Not Pixels",https://arxiv.org/abs/2604.04746,2026-04,2026,2026-H1,L3,L1+L3,Image,Unified and latent closed-loop generation,Interleaved draft and reflection,unified multimodal policy,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,False,False,True,False,False,True,False,,,False
RAISE: Requirement-Adaptive Evolutionary Refinement for Training-Free Text-to-Image Alignment,https://arxiv.org/abs/2603.00483,2026-03,2026,2026-H1,L3,L1+L2+L3,Image,Unified and latent closed-loop generation,Outcome-aware verification and revision,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/LiyaoJiang1998/RAISE,,True
UniT,https://arxiv.org/abs/2602.12279,2026-02,2026,2026-H1,L3,L1+L3,Image,Unified and latent closed-loop generation,Sequential generation and refinement,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,False,False,True,False,False,True,False,,https://ai.meta.com/research/publications/unit-unified-multimodal-chain-of-thought-test-time-scaling/,False
Interleaving Reasoning for Better Text-to-Image Generation,https://arxiv.org/abs/2509.06945,2025-09,2025,2025-H2,L3,L1+L3,Image,Unified and latent closed-loop generation,Image-conditioned textual reflection,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,False,False,True,False,False,True,False,https://github.com/Osilly/Interleaving-Reasoning-Generation,,True
MILR,https://arxiv.org/abs/2509.22761,2025-09,2025,2025-H2,L3,L1+L3,Image,Unified and latent closed-loop generation,Test-time latent search,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,True,False,False,True,False,False,True,False,https://github.com/spatigen/MILR,https://spatigen.github.io/milr.io/,True
A Unified Multi-Agent Framework for Universal Multimodal Understanding and Generation,https://arxiv.org/abs/2508.10494,2025-08,2025,2025-H2,L3,L1+L2+L3,Image,Unified and latent closed-loop generation,Growth-aware multimodal search,multi-role language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,True,True,True,True,False,False,True,False,,,False
UniGen,https://arxiv.org/abs/2505.14682,2025-05,2025,2025-H1,L3,L1+L3,Image,Unified and latent closed-loop generation,Candidate verification and selection,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,False,False,True,False,False,True,False,,,False
FoX,https://arxiv.org/abs/2503.01298,2025-03,2025,2025-H1,L3,L1+L3,Image,Unified and latent closed-loop generation,"Planning, acting, reflection, correction",language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,False,False,True,False,False,True,False,,,False
Image CoT,https://arxiv.org/abs/2501.13926,2025-01,2025,2025-H1,L3,L1+L3,Image,Unified and latent closed-loop generation,Stepwise generation and verification,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,False,False,True,False,False,True,False,https://github.com/ZiyuGuo99/Image-Generation-CoT,,True
Crayotter: Learning Long-Horizon Video Editing Agents via Group-Relative Preference Backpropagation,https://arxiv.org/abs/2608.02694,2026-08,2026,2026-H2,L3,L1+L2+L3,Video;Editing,Image and video editing with artifact feedback,Outcome-aware verification and revision,language or multimodal controller,video generator or editor; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,False,True,False,False,True,False,https://github.com/idwts/Crayotter,,True
IMAGAgent: Orchestrating Multi-Turn Image Editing via Constraint-Aware Planning and Reflection,https://arxiv.org/abs/2603.29602,2026-03,2026,2026-H1,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,"Within-request edit, critique, retry, and rollback state",language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,False,True,False,False,True,False,https://github.com/hackermmzz/IMAGAgent,,True
APEX: Academic Poster Editing Agentic Expert,https://arxiv.org/abs/2601.04794,2026-01,2026,2026-H1,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,Render-review-adjust poster editing,language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/Breesiu/APEX,,True
Domain-Grounded Candidate Selection for Agentic Image Editing: A Shadow Removal Case,https://arxiv.org/abs/2608.06075,2026-08,2026,2026-H2,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,Outcome-aware verification and revision,language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,True,True,False,True,False,False,True,False,,,False
DrawAI: Agentic Benchmark and Workflow for Making Raster Images Editable,https://arxiv.org/abs/2608.00548,2026-08,2026,2026-H2,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,Outcome-aware verification and revision,language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/Renaissance-Mind/DrawAI,https://drawai.renaissancemind.ai/demo,True
What to Edit Next: Visually Aligned Image-Editing Follow-Up Suggestions in Conversational Systems,https://arxiv.org/abs/2608.07565,2026-08,2026,2026-H2,L3,L1+L3,Image;Editing,Image and video editing with artifact feedback,Current-image-conditioned follow-up edit policy,language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,False,False,True,False,False,True,False,,,False
CanvasAgent: Enabling Complex Image Creation and Editing via Visual Tool Orchestration,https://arxiv.org/abs/2607.05465,2026-07,2026,2026-H2,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,Outcome-aware verification and revision,language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,https://huggingface.co/datasets/GML-FMGroup/CanvasCraftSFT,False
"Cognitive-structured Multimodal Agent for Multimodal Understanding, Generation, and Editing",https://arxiv.org/abs/2607.08497,2026-07,2026,2026-H2,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,Outcome-aware verification and revision,language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/caseclose/cma-harness,https://caseclose.github.io/cma-harness/,True
GMO-E$^2$DIT: Grounded Multi-Operation Editing for E-Commerce Images,https://arxiv.org/abs/2607.00920,2026-07,2026,2026-H2,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,Outcome-aware verification and revision,language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,True,True,False,True,False,False,True,False,,,False
SAGE: Structured Agentic Graph Editing for Software Diagrams,https://arxiv.org/abs/2607.01102,2026-07,2026,2026-H2,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,Structured diagram validation and repair,language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/Miller11k/Agentic-Figure-Drawing,,True
What Can I Edit? Open-Ended Strategy Discovery and the Emotion Editability Landscape,https://arxiv.org/abs/2607.23920,2026-07,2026,2026-H2,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,Outcome-aware verification and revision,language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
Crayotter,https://arxiv.org/abs/2606.07636,2026-06,2026,2026-H1,L3,L1+L2+L3,Video;Editing,Image and video editing with artifact feedback,Traceable iterative workflow,language or multimodal controller,video generator or editor; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/idwts/Crayotter,,True
IEA: Amateur-Friendly Conversational Image Editing Agent via Three Stages of Multitask Alignment,https://arxiv.org/abs/2606.08016,2026-06,2026,2026-H1,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,Outcome-aware verification and revision,language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/OpenDFM/Image_Edit_Agent,,True
Taming I2V models for Image HOI Editing: A Cognitive Benchmark and Agentic Self-Correcting Framework,https://arxiv.org/abs/2606.19073,2026-06,2026,2026-H1,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,Outcome-aware verification and revision,language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/oceanflowlab/HOI-Edit,,True
Crafter: A Multi-Agent Harness for Editable Scientific Figure Generation from Diverse Inputs,https://arxiv.org/abs/2605.30611,2026-05,2026,2026-H1,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,Critic-refiner-convergence loop,multi-role language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,True,True,False,False,True,False,https://github.com/HaozheZhao/Crafter,,True
EditRefiner,https://arxiv.org/abs/2605.07457,2026-05,2026,2026-H1,L3,L1+L3,Editing,Image and video editing with artifact feedback,Human-aligned iterative refinement,language or multimodal controller,visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,False,False,True,False,False,True,False,https://github.com/IntMeGroup/EditRefiner,,True
From Plans to Pixels: Learning to Plan and Orchestrate for Open-Ended Image Editing,https://arxiv.org/abs/2605.15181,2026-05,2026,2026-H1,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,Outcome-aware verification and revision,language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,False,True,False,False,True,False,,https://anisundar18.github.io/Plan2Pix.github.io/,False
LiveFigure: Generating Editable Scientific Illustration with VLM Agents,https://arxiv.org/abs/2605.23527,2026-05,2026,2026-H1,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,Visual-diagnostic figure correction,language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/tsinghua-fib-lab/LiveFigure,,True
CAMEO: A Conditional and Quality-Aware Multi-Agent Image Editing Orchestrator,https://arxiv.org/abs/2604.03156,2026-04,2026,2026-H1,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,Outcome-aware verification and revision,multi-role language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,True,True,False,False,True,False,,,False
DIRECT: Video Mashup Creation via Hierarchical Multi-Agent Planning and Intent-Guided Editing,https://arxiv.org/abs/2604.04875,2026-04,2026,2026-H1,L3,L1+L2+L3,Video;Editing,Image and video editing with artifact feedback,Outcome-aware verification and revision,multi-role language or multimodal controller,video generator or editor; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,True,True,False,False,True,False,https://github.com/AK-DREAM/DIRECT,,True
GLANCE: A Global-Local Coordination Multi-Agent Framework for Music-Grounded Non-Linear Video Editing,https://arxiv.org/abs/2604.05076,2026-04,2026,2026-H1,L3,L1+L2+L3,Video;Editing,Image and video editing with artifact feedback,Outcome-aware verification and revision,multi-role language or multimodal controller,video generator or editor; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,True,True,True,True,False,False,True,False,https://github.com/ZihaoLinQZ/GLANCE-Video-Editing-Agent,,True
Making Image Editing Easier via Adaptive Task Reformulation with Agentic Executions,https://arxiv.org/abs/2604.15917,2026-04,2026,2026-H1,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,Outcome-aware verification and revision,language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/KlingAIResearch/ATR,,True
Refinement via Regeneration,https://arxiv.org/abs/2604.25636,2026-04,2026,2026-H1,L3,L1+L3,Image;Editing,Image and video editing with artifact feedback,Adaptive modification space,language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,False,False,True,False,False,True,False,https://github.com/LeapLabTHU/RvR,,True
CutClaw,https://arxiv.org/abs/2603.29664,2026-03,2026,2026-H1,L3,L1+L2+L3,Video;Editing,Image and video editing with artifact feedback,Hours-long timeline control,language or multimodal controller,video generator or editor; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/GVCLab/CutClaw,,True
MSRAMIE: Multimodal Structured Reasoning Agent for Multi-instruction Image Editing,https://arxiv.org/abs/2603.16967,2026-03,2026,2026-H1,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,Outcome-aware verification and revision,language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,False,True,False,False,True,False,,,False
Towards Context-Aware Image Anonymization with Multi-Agent Reasoning,https://arxiv.org/abs/2603.27817,2026-03,2026,2026-H1,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,PDCA anonymization refinement,multi-role language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,True,True,False,False,True,False,,,False
Agent Banana,https://arxiv.org/abs/2602.09084,2026-02,2026,2026-H1,L3,L1+L2+L3,Editing,Image and video editing with artifact feedback,Multi-step reasoning and tools,language or multimodal controller,visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,False,True,False,False,True,False,https://github.com/taco-group/agent-banana,https://agent-banana.github.io/,True
PhotoAgent,https://arxiv.org/abs/2602.22809,2026-02,2026,2026-H1,L3,L1+L2+L3,Editing,Image and video editing with artifact feedback,Long-horizon aesthetic planning,language or multimodal controller,visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,False,True,False,False,True,False,,https://mdyao.github.io/PhotoAgent/,False
RetouchIQ: MLLM Agents for Instruction-Based Image Retouching with Generalist Reward,https://arxiv.org/abs/2602.17558,2026-02,2026,2026-H1,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,Outcome-aware verification and revision,language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
Agentic Retoucher,https://arxiv.org/abs/2601.02046,2026-01,2026,2026-H1,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,Defect localization and retouching,language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/MediaX-SJTU/Agentic-Retoucher,,True
SciFig: Towards Automating Editable Figure Generation for Scientific Papers,https://arxiv.org/abs/2601.04390,2026-01,2026,2026-H1,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,VLM-guided editable-figure refinement,language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,https://shramanpramanick.github.io/SciFig/,False
MIRA: Multimodal Iterative Reasoning Agent for Image Editing,https://arxiv.org/abs/2511.21087,2025-11,2025,2025-H2,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,Outcome-aware verification and revision,language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,False,True,False,False,True,False,,,False
EditDuet,https://arxiv.org/abs/2509.10761,2025-09,2025,2025-H2,L3,L1+L2+L3,Video;Editing,Image and video editing with artifact feedback,Proposal and critique,language or multimodal controller,video generator or editor; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
An LLM-LVLM Driven Agent for Iterative and Fine-Grained Image Editing,https://arxiv.org/abs/2508.17435,2025-08,2025,2025-H2,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,Outcome-aware verification and revision,language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
Talk2Image: A Multi-Agent System for Multi-Turn Image Generation and Editing,https://arxiv.org/abs/2508.06916,2025-08,2025,2025-H2,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,Outcome-aware verification and revision,multi-role language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,True,True,False,False,True,False,https://github.com/Flipped-May/Talk2Image,,True
Beyond Simple Edits: X-Planner for Complex Instruction-Based Image Editing,https://arxiv.org/abs/2507.05259,2025-07,2025,2025-H2,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,Outcome-aware verification and revision,language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,False,True,False,False,True,False,,https://danielchyeh.github.io/x-planner/,False
CREA: A Collaborative Multi-Agent Framework for Creative Image Editing and Generation,https://arxiv.org/abs/2504.05306,2025-04,2025,2025-H1,L3,L1+L2+L3,Image;Editing,Image and video editing with artifact feedback,Critic-guided creative image refinement,multi-role language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,True,True,False,False,True,False,https://github.com/ConnorDunlop/CREA,https://crea-diffusion.github.io,True
LAVE,https://arxiv.org/abs/2402.10294,2024-02,2024,2024-H1,L3,L1+L2+L3,Video;Editing,Image and video editing with artifact feedback,Timeline state and user revision,language or multimodal controller,video generator or editor; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,https://www.dgp.toronto.edu/~bryanw/lave/,False
Self-correcting LLM-controlled Diffusion Models,https://arxiv.org/abs/2311.16090,2023-11,2023,2023-H2,L3,L1+L3,Image,Image and video editing with artifact feedback,Requirement inspection and repair,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,False,False,True,False,False,True,False,https://github.com/tsunghan-wu/SLD,https://self-correcting-llm-diffusion.github.io/,True
CoGen3D: An Agentic Human-AI Co-Design Pipeline for 3D Asset Generation for Virtual Reality,https://arxiv.org/abs/2607.03731,2026-07,2026,2026-H2,L3,L1+L2+L3,3D,"Video, 3D, and persistent world-state control",Human-confirmed concept refinement before 3D generation,language or multimodal controller,3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
MUSE: Agentic 3D Scene Authoring via Memory-Grounded Incremental Requirement Satisfaction,https://arxiv.org/abs/2606.14168,2026-06,2026,2026-H1,L3,L1+L2+L3,3D,"Video, 3D, and persistent world-state control",Within-project requirement state and verified local editing,language or multimodal controller,3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,True,True,False,True,True,False,True,False,,https://xujay111.github.io/muse_githubio/,False
HDSL: A Hierarchical Domain-Specific Language for Structured 3D Indoor Scene Generation and Localized Editing with LLM Agents,https://arxiv.org/abs/2606.09738,2026-06,2026,2026-H1,L3,L1+L2+L3,3D;Editing,"Video, 3D, and persistent world-state control",Generate-verify-revise control over a hierarchical scene language,language or multimodal controller,3D generator or scene engine; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
Authoring for Living Worlds: Tool-Constrained LLM Agents for Executable Multi-Actor Scenarios,https://arxiv.org/abs/2604.10383,2026-04,2026,2026-H1,L3,L1+L2+L3,World,"Video, 3D, and persistent world-state control",Simulator-state-checked scenario revision,language or multimodal controller,world generator or simulator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
MotionAgent,https://arxiv.org/abs/2502.03207,2025-02,2025,2025-H1,L3,L1+L3,Video,"Video, 3D, and persistent world-state control",Optional rendered-video rethinking and motion-control regeneration,language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,False,False,True,False,False,True,False,https://github.com/leoisufa/MotionAgent,,True
MAGIC: Transition-Aware Generation of Navigable Multi-Scene Game Worlds with Large Language Models,https://arxiv.org/abs/2607.11594,2026-07,2026,2026-H2,L3,L1+L2+L3,World,"Video, 3D, and persistent world-state control",Constraint-violation and reachability-guided world repair,language or multimodal controller,world generator or simulator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/sereneee1201/MAGIC,,True
OrchestrXR: A Multi-Agent System for Idea-to-Prototype XR Study Authoring,https://arxiv.org/abs/2607.01588,2026-07,2026,2026-H2,L3,L1+L2+L3,World,"Video, 3D, and persistent world-state control",User-reviewed patch-and-revise XR authoring,multi-role language or multimodal controller,world generator or simulator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,True,True,False,False,True,False,,,False
SimWorlds: A Multi-Agent System for Dynamic 3D Scene Creation,https://arxiv.org/abs/2607.01766,2026-07,2026,2026-H2,L3,L1+L2+L3,3D,"Video, 3D, and persistent world-state control",Runtime-state and render-verified 4D scene construction,multi-role language or multimodal controller,3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,True,True,False,False,True,False,,https://dynsimworlds.github.io,False
MANSION: Multi-floor lANguage-to-3D Scene generatIOn for loNg-horizon tasks,https://arxiv.org/abs/2603.11554,2026-03,2026,2026-H1,L3,L1+L2+L3,3D,"Video, 3D, and persistent world-state control",Think-verify-act task-semantic scene provisioning,language or multimodal controller,3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,https://huggingface.co/datasets/superbigsaw/MansionWorld,False
Mind-of-Director: Multi-modal Agent-Driven Film Previsualization via Collaborative Decision-Making,https://arxiv.org/abs/2603.14790,2026-03,2026,2026-H1,L3,L1+L2+L3,Video;3D,"Video, 3D, and persistent world-state control",Engine-validated camera and scene refinement,multi-role language or multimodal controller,video generator or editor; 3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,True,True,False,False,True,False,,,False
AnimeAgent: Is the Multi-Agent via Image-to-Video models a Good Disney Storytelling Artist?,https://arxiv.org/abs/2602.20664,2026-02,2026,2026-H1,L3,L1+L2+L3,Video,"Video, 3D, and persistent world-state control",Reviewer-guided dope-sheet refinement from generated trajectories,multi-role language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,True,True,False,False,True,False,,,False
Educational Video Generation with an LLM-Based Multi-Agent System,https://arxiv.org/abs/2602.11790,2026-02,2026,2026-H1,L3,L1+L2+L3,Video,"Video, 3D, and persistent world-state control",Compilation- and critique-guided executable-video repair,multi-role language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,True,True,False,False,True,False,https://github.com/RobitsG/LASEV,https://robitsg.github.io/LASEV/,True
World Craft: Agentic Framework to Create Visualizable Worlds via Text,https://arxiv.org/abs/2601.09150,2026-01,2026,2026-H1,L3,L1+L2+L3,World,"Video, 3D, and persistent world-state control",Constraint-checked world-layout correction,language or multimodal controller,world generator or simulator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,False,True,False,False,True,False,,,False
Beyond Trial-and-Error: Agentic Optimization for Image-to-Video Adherence,https://arxiv.org/abs/2608.12290,2026-08,2026,2026-H2,L3,L1+L2+L3,Video,"Video, 3D, and persistent world-state control",Outcome-aware verification and revision,language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
iARCS: Iterative Agentic RL for Controllable 3D Scene Generation,https://arxiv.org/abs/2608.06161,2026-08,2026,2026-H2,L3,L1+L2+L3,3D,"Video, 3D, and persistent world-state control",Outcome-aware verification and revision,language or multimodal controller,3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,True,True,False,,,False
"StateFlow: Building, Evolving, and Accessing 3D World States for Previsualization",https://arxiv.org/abs/2608.12314,2026-08,2026,2026-H2,L3,L1+L2+L3,3D,"Video, 3D, and persistent world-state control",Outcome-aware verification and revision,language or multimodal controller,3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,True,False,True,False,,https://yuyangyin.github.io/StateFlow/,False
WorldClaw: Agentic 3D Open-World Generation at Scale,https://arxiv.org/abs/2608.05248,2026-08,2026,2026-H2,L3,L1+L2+L3,3D,"Video, 3D, and persistent world-state control",Render-based 3D world refinement,language or multimodal controller,3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,https://tencent-hunyuan.github.io/Hunyuan3D-WorldClaw,False
Engine-Native Editable 3D World Reconstruction with Objects and Lighting,https://arxiv.org/abs/2607.20889,2026-07,2026,2026-H2,L3,L1+L2+L3,3D;Editing,"Video, 3D, and persistent world-state control",Outcome-aware verification and revision,unified multimodal policy,3D generator or scene engine; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
